Polygon_ID,CliffTop_Z
0,15.911
1,15.911
2,15.911
3,15.911
4,15.911
5,15.911
6,15.911
7,15.911
8,15.911
9,15.911
10,15.942
11,15.972
12,15.987
13,15.987
14,15.987
15,15.987
16,16.006
17,16.025
18,16.025
19,16.056
20,16.063
21,16.078
22,16.101
23,16.101
24,16.127
25,16.139
26,16.147
27,16.177
28,16.177
29,16.2
30,16.215
31,16.215
32,16.215
33,16.238
34,16.253
35,16.261
36,16.291
37,16.291
38,16.291
39,16.291
40,16.291
41,16.291
42,16.291
43,16.306
44,16.329
45,16.329
46,16.329
47,16.329
48,16.337
49,16.367
50,16.367
51,16.39
52,16.405
53,16.413
54,16.443
55,16.468
56,16.481
57,16.489
58,16.519
59,16.519
60,16.519
61,16.519
62,16.519
63,16.519
64,16.519
65,16.519
66,16.519
67,16.519
68,16.519
69,16.519
70,16.519
71,16.519
72,16.519
73,16.519
74,16.519
75,16.519
76,16.519
77,16.519
78,16.519
79,16.519
80,16.519
81,16.519
82,16.519
83,16.519
84,16.519
85,16.519
86,16.519
87,16.519
88,16.519
89,16.519
90,16.519
91,16.519
92,16.519
93,16.519
94,16.519
95,16.519
96,16.519
97,16.519
98,16.519
99,16.519
100,16.519
101,16.519
102,16.519
103,16.519
104,16.519
105,16.519
106,16.519
107,16.519
108,16.519
109,16.519
110,16.519
111,16.519
112,16.519
113,16.519
114,16.519
115,16.519
116,16.519
117,16.519
118,16.519
119,16.519
120,16.519
121,16.519
122,16.519
123,16.519
124,16.525
125,16.551
126,16.557
127,16.557
128,16.565
129,16.595
130,16.595
131,16.595
132,16.595
133,16.595
134,16.625
135,16.633
136,16.648
137,16.671
138,16.671
139,16.701
140,16.728
141,16.747
142,16.747
143,16.777
144,16.808
145,16.838
146,16.868
147,16.899
148,16.899
149,16.914
150,16.944
151,16.975
152,16.975
153,16.997
154,17.013
155,17.019
156,17.044
157,17.051
158,17.051
159,17.051
160,17.051
161,17.081
162,17.089
163,17.089
164,17.089
165,17.119
166,17.127
167,17.127
168,17.127
169,17.127
170,17.127
171,17.127
172,17.127
173,17.127
174,17.127
175,17.127
176,17.127
177,17.127
178,17.127
179,17.127
180,17.127
181,17.127
182,17.127
183,17.127
184,17.127
185,17.127
186,17.127
187,17.127
188,17.127
189,17.127
190,17.127
191,17.127
192,17.127
193,17.149
194,17.165
195,17.165
196,17.165
197,17.187
198,17.203
199,17.203
200,17.203
201,17.233
202,17.259
203,17.278
204,17.278
205,17.278
206,17.301
207,17.316
208,17.324
209,17.354
210,17.354
211,17.354
212,17.362
213,17.392
214,17.392
215,17.415
216,17.43
217,17.43
218,17.43
219,17.43
220,17.446
221,17.476
222,17.506
223,17.506
224,17.529
225,17.557
226,17.582
227,17.582
228,17.582
229,17.582
230,17.582
231,17.582
232,17.582
233,17.582
234,17.582
235,17.582
236,17.582
237,17.582
238,17.582
239,17.582
240,17.582
241,17.582
242,17.582
243,17.582
244,17.582
245,17.582
246,17.582
247,17.582
248,17.582
249,17.582
250,17.605
251,17.62
252,17.628
253,17.658
254,17.658
255,17.658
256,17.658
257,17.658
258,17.658
259,17.658
260,17.673
261,17.696
262,17.696
263,17.696
264,17.715
265,17.734
266,17.734
267,17.734
268,17.734
269,17.734
270,17.734
271,17.734
272,17.759
273,17.772
274,17.78
275,17.81
276,17.81
277,17.81
278,17.825
279,17.854
280,17.88
281,17.886
282,17.901
283,17.924
284,17.924
285,17.954
286,17.985
287,18.013
288,18.038
289,18.068
290,18.099
291,18.129
292,18.152
293,18.152
294,18.182
295,18.209
296,18.228
297,18.228
298,18.258
299,18.289
300,18.304
301,18.311
302,18.342
303,18.342
304,18.342
305,18.342
306,18.342
307,18.342
308,18.342
309,18.342
310,18.342
311,18.342
312,18.365
313,18.38
314,18.387
315,18.418
316,18.418
317,18.441
318,18.456
319,18.456
320,18.486
321,18.494
322,18.494
323,18.494
324,18.494
325,18.494
326,18.494
327,18.494
328,18.494
329,18.494
330,18.494
331,18.509
332,18.532
333,18.532
334,18.532
335,18.547
336,18.57
337,18.57
338,18.57
339,18.57
340,18.57
341,18.57
342,18.57
343,18.57
344,18.57
345,18.57
346,18.57
347,18.57
348,18.57
349,18.582
350,18.608
351,18.638
352,18.668
353,18.684
354,18.699
355,18.759
356,18.759
357,18.797
358,18.835
359,18.835
360,18.866
361,18.896
362,18.927
363,18.957
364,18.987
365,18.987
366,19.018
367,19.063
368,19.063
369,19.124
370,19.139
371,19.17
372,19.222
373,19.247
374,19.276
375,19.306
376,19.329
377,19.329
378,19.329
379,19.352
380,19.38
381,19.405
382,19.435
383,19.443
384,19.458
385,19.489
386,19.519
387,19.519
388,19.538
389,19.557
390,19.557
391,19.587
392,19.618
393,19.633
394,19.633
395,19.633
396,19.658
397,19.671
398,19.671
399,19.671
400,19.671
401,19.671
402,19.671
403,19.671
404,19.671
405,19.671
406,19.671
407,19.671
408,19.671
409,19.671
410,19.671
411,19.671
412,19.671
413,19.671
414,19.671
415,19.671
416,19.671
417,19.671
418,19.671
419,19.671
420,19.671
421,19.671
422,19.671
423,19.671
424,19.671
425,19.671
426,19.671
427,19.671
428,19.671
429,19.671
430,19.671
431,19.671
432,19.671
433,19.671
434,19.671
435,19.671
436,19.671
437,19.671
438,19.671
439,19.671
440,19.671
441,19.671
442,19.671
443,19.671
444,19.671
445,19.671
446,19.671
447,19.671
448,19.671
449,19.671
450,19.671
451,19.671
452,19.671
453,19.671
454,19.716
455,19.762
456,19.792
457,19.823
458,19.884
459,19.899
460,19.906
461,19.937
462,19.967
463,20.02
464,20.081
465,20.142
466,20.203
467,20.253
468,20.324
469,20.408
470,20.468
471,20.529
472,20.59
473,20.651
474,20.709
475,20.759
476,20.795
477,20.841
478,20.894
479,20.924
480,20.954
481,20.985
482,21.013
483,21.038
484,21.068
485,21.099
486,21.114
487,21.122
488,21.152
489,21.182
490,21.19
491,21.197
492,21.228
493,21.228
494,21.251
495,21.266
496,21.273
497,21.304
498,21.304
499,21.319
500,21.342
501,21.342
502,21.372
503,21.403
504,21.433
505,21.456
506,21.456
507,21.478
508,21.494
509,21.501
510,21.532
511,21.532
512,21.554
513,21.57
514,21.57
515,21.6
516,21.608
517,21.623
518,21.653
519,21.684
520,21.684
521,21.684
522,21.691
523,21.722
524,21.722
525,21.744
526,21.759
527,21.759
528,21.759
529,21.785
530,21.797
531,21.805
532,21.835
533,21.835
534,21.835
535,21.835
536,21.835
537,21.835
538,21.835
539,21.835
540,21.843
541,21.873
542,21.873
543,21.873
544,21.873
545,21.873
546,21.873
547,21.873
548,21.873
549,21.873
550,21.873
551,21.873
552,21.873
553,21.873
554,21.873
555,21.873
556,21.873
557,21.873
558,21.881
559,21.911
560,21.911
561,21.911
562,21.911
563,21.911
564,21.911
565,21.911
566,21.911
567,21.911
568,21.911
569,21.911
570,21.911
571,21.911
572,21.911
573,21.911
574,21.934
575,21.949
576,21.949
577,21.949
578,21.949
579,21.965
580,21.987
581,21.987
582,21.987
583,21.987
584,21.987
585,21.987
586,21.987
587,21.987
588,21.987
589,21.98
590,21.949
591,21.949
592,21.919
593,21.866
594,21.835
595,21.835
596,21.835
597,21.835
598,21.835
599,21.835
600,21.835
601,21.835
602,21.835
603,21.835
604,21.835
605,21.813
606,21.785
607,21.759
608,21.729
609,21.722
610,21.706
611,21.676
612,21.646
613,21.615
614,21.589
615,21.562
616,21.532
617,21.532
618,21.509
619,21.478
620,21.456
621,21.456
622,21.43
623,21.403
624,21.372
625,21.342
626,21.342
627,21.296
628,21.266
629,21.253
630,21.203
631,21.167
632,21.137
633,21.099
634,21.038
635,21.008
636,20.977
637,20.949
638,20.924
639,20.924
640,20.901
641,20.886
642,20.878
643,20.848
644,20.818
645,20.791
646,20.772
647,20.772
648,20.742
649,20.711
650,20.696
651,20.696
652,20.696
653,20.671
654,20.658
655,20.651
656,20.62
657,20.62
658,20.62
659,20.62
660,20.62
661,20.62
662,20.62
663,20.62
664,20.613
665,20.582
666,20.582
667,20.559
668,20.544
669,20.544
670,20.544
671,20.544
672,20.544
673,20.544
674,20.544
675,20.544
676,20.525
677,20.506
678,20.506
679,20.476
680,20.468
681,20.468
682,20.461
683,20.43
684,20.43
685,20.43
686,20.423
687,20.392
688,20.392
689,20.392
690,20.392
691,20.392
692,20.392
693,20.392
694,20.392
695,20.392
696,20.392
697,20.392
698,20.392
699,20.392
700,20.392
701,20.392
702,20.392
703,20.392
704,20.392
705,20.392
706,20.392
707,20.392
708,20.392
709,20.392
710,20.362
711,20.354
712,20.324
713,20.278
714,20.278
715,20.253
716,20.241
717,20.241
718,20.241
719,20.241
720,20.218
721,20.203
722,20.196
723,20.171
724,20.165
725,20.165
726,20.165
727,20.165
728,20.165
729,20.165
730,20.165
731,20.165
732,20.165
733,20.165
734,20.165
735,20.165
736,20.165
737,20.165
738,20.146
739,20.127
740,20.127
741,20.127
742,20.127
743,20.111
744,20.089
745,20.089
746,20.089
747,20.089
748,20.089
749,20.089
750,20.089
751,20.089
752,20.089
753,20.082
754,20.057
755,20.051
756,20.051
757,20.051
758,20.051
759,20.051
760,20.051
761,20.051
762,20.051
763,20.051
764,20.051
765,20.051
766,20.051
767,20.051
768,20.051
769,20.051
770,20.051
771,20.051
772,20.051
773,20.073
774,20.089
775,20.089
776,20.089
777,20.089
778,20.089
779,20.089
780,20.089
781,20.089
782,20.089
783,20.089
784,20.089
785,20.089
786,20.089
787,20.089
788,20.089
789,20.089
790,20.089
791,20.089
792,20.089
793,20.089
794,20.089
795,20.089
796,20.089
797,20.089
798,20.089
799,20.089
800,20.089
801,20.096
802,20.127
803,20.127
804,20.149
805,20.165
806,20.165
807,20.165
808,20.165
809,20.165
810,20.165
811,20.165
812,20.165
813,20.165
814,20.165
815,20.165
816,20.165
817,20.165
818,20.165
819,20.165
820,20.165
821,20.165
822,20.165
823,20.165
824,20.165
825,20.165
826,20.165
827,20.165
828,20.165
829,20.165
830,20.165
831,20.165
832,20.165
833,20.165
834,20.165
835,20.165
836,20.165
837,20.165
838,20.165
839,20.165
840,20.165
841,20.172
842,20.203
843,20.203
844,20.203
845,20.203
846,20.209
847,20.234
848,20.241
849,20.241
850,20.241
851,20.241
852,20.241
853,20.241
854,20.253
855,20.278
856,20.278
857,20.278
858,20.278
859,20.263
860,20.203
861,20.203
862,20.184
863,20.157
864,20.127
865,20.127
866,20.127
867,20.127
868,20.119
869,20.089
870,20.089
871,20.089
872,20.089
873,20.089
874,20.058
875,20.051
876,20.035
877,20.013
878,20.013
879,20.013
880,19.997
881,19.975
882,19.975
883,19.944
884,19.937
885,19.937
886,19.937
887,19.906
888,19.899
889,19.884
890,19.861
891,19.861
892,19.83
893,19.804
894,19.785
895,19.785
896,19.785
897,19.762
898,19.747
899,19.739
900,19.709
901,19.709
902,19.709
903,19.701
904,19.671
905,19.671
906,19.648
907,19.633
908,19.633
909,19.633
910,19.61
911,19.58
912,19.557
913,19.557
914,19.557
915,19.534
916,19.519
917,19.513
918,19.487
919,19.481
920,19.481
921,19.481
922,19.481
923,19.481
924,19.481
925,19.481
926,19.481
927,19.481
928,19.481
929,19.481
930,19.473
931,19.443
932,19.443
933,19.443
934,19.435
935,19.405
936,19.405
937,19.405
938,19.405
939,19.405
940,19.405
941,19.405
942,19.405
943,19.405
944,19.405
945,19.405
946,19.405
947,19.405
948,19.405
949,19.405
950,19.405
951,19.405
952,19.405
953,19.405
954,19.405
955,19.405
956,19.405
957,19.405
958,19.405
959,19.405
960,19.405
961,19.405
962,19.405
963,19.405
964,19.405
965,19.405
966,19.405
967,19.405
968,19.405
969,19.405
